"id","type","value","id_jo","id_country"
283,"none",127,21,209
284,"none",13,8,40
285,"gold",3,7,75
286,"none",16,13,75
287,"none",58,19,10
288,"none",61,20,10
289,"none",50,23,10
290,"none",38,3,215
291,"none",106,21,215
292,"none",3,2,237
293,"none",8,3,237
294,"none",3,4,237
295,"none",2,10,237
296,"none",3,5,237
297,"none",27,8,3
298,"none",114,20,113
299,"none",55,14,227
300,"silver",2,12,227
301,"none",61,12,227
302,"none",14,7,210
303,"none",9,13,210
304,"none",28,13,11
305,"none",11,0,61
306,"none",7,8,61
307,"none",6,12,61
308,"none",120,1,209
309,"none",121,18,80
310,"none",14,21,226
311,"none",13,21,109
312,"none",92,12,118
313,"none",150,1,115
314,"none",28,13,119
315,"none",90,23,35
316,"gold",7,24,35
317,"none",170,13,80
318,"none",31,1,160
319,"none",35,13,160
320,"none",16,24,23
321,"none",2,18,23
322,"none",44,10,80
323,"none",204,12,181
324,"none",211,13,31
325,"none",47,5,232
326,"none",42,11,232
327,"none",36,26,232
328,"bronze",31,1,181
329,"silver",25,1,181
330,"silver",17,13,181
331,"bronze",19,13,181
332,"none",55,23,155
333,"none",15,8,88
334,"none",3,20,205
335,"none",22,10,124
336,"none",30,9,124
337,"none",174,13,13
338,"bronze",10,13,13
339,"none",15,2,209
340,"none",12,19,125
341,"none",21,20,125
342,"none",7,7,217
343,"none",26,7,149
344,"none",4,21,159
345,"none",4,21,128
346,"none",14,18,3
347,"none",10,18,109
348,"silver",1,1,69
349,"none",17,19,69
350,"none",3,3,125
351,"none",6,14,136
352,"none",215,8,238
353,"bronze",6,21,104
354,"gold",11,21,104
355,"none",138,23,234
356,"none",134,24,234
357,"bronze",9,24,234
358,"none",36,13,45
359,"none",75,13,216
360,"none",29,18,106
361,"none",26,21,106
362,"none",35,0,106
363,"none",30,8,106
364,"none",142,24,174
365,"none",84,7,215
366,"silver",1,14,215
367,"none",78,12,215
368,"none",97,19,80
369,"none",15,18,55
370,"none",12,23,168
371,"none",30,2,164
372,"none",26,6,164
373,"none",134,18,238
374,"none",159,20,238
375,"none",153,23,238
376,"none",30,28,215
377,"none",96,22,215
378,"none",65,25,215
379,"none",3,11,86
380,"none",6,26,86
381,"none",5,9,86
382,"none",80,13,20
383,"none",40,9,232
384,"none",28,26,20
385,"none",31,9,20
386,"none",22,0,149
387,"none",36,8,86
388,"none",33,8,203
389,"none",5,4,86
390,"none",5,10,86
391,"bronze",36,14,181
392,"none",52,4,181
393,"none",70,11,181
394,"bronze",8,11,181
395,"none",73,26,181
396,"none",20,11,56
397,"none",6,13,99
398,"none",7,21,99
399,"none",27,22,157
400,"none",33,13,86
401,"none",59,21,175
402,"none",70,0,175
403,"none",77,8,175
404,"none",62,12,175
405,"none",73,1,175
406,"none",162,8,80
407,"none",21,4,35
408,"none",71,1,216
409,"none",43,4,87
410,"none",34,3,174
411,"none",35,10,174
412,"none",27,5,174
413,"none",59,13,175
414,"none",64,23,57
415,"none",126,14,31
416,"none",23,19,175
417,"none",5,23,170
418,"none",8,12,6
419,"none",75,18,31
420,"none",75,24,57
421,"none",36,8,242
422,"none",24,23,175
423,"none",16,24,175
424,"none",157,21,80
425,"none",75,1,51
426,"none",80,13,51
427,"bronze",6,13,209
428,"none",6,13,65
429,"none",186,7,181
430,"bronze",28,12,181
431,"gold",10,14,80
432,"none",14,1,75
433,"none",180,21,238
434,"none",61,5,87
435,"none",59,5,181
436,"none",37,12,108
437,"none",4,12,18
438,"none",8,1,117
439,"none",6,13,117
440,"none",0,8,211
441,"none",4,1,211
442,"none",7,7,117
443,"none",7,14,117
444,"none",89,8,118
445,"none",3,14,212
446,"none",2,14,211
447,"none",135,7,46
448,"none",47,21,119
449,"none",32,12,160
450,"none",21,19,171
451,"none",18,25,171
452,"none",7,14,128
453,"gold",0,13,117
454,"none",1,14,205
455,"none",139,25,115
456,"bronze",8,25,115
457,"none",5,13,211
458,"none",9,13,195
459,"none",57,8,143
460,"none",17,18,121
461,"none",63,14,143
462,"none",95,1,118
463,"none",8,21,117
464,"none",26,19,227
465,"none",123,20,80
466,"none",75,12,180
467,"bronze",3,12,180
468,"none",145,8,209
469,"none",32,4,216
470,"none",38,10,216
471,"none",27,2,216
472,"bronze",4,2,216
473,"none",31,3,216
474,"none",47,5,216
475,"none",180,0,209
476,"none",7,22,45
477,"none",13,21,239
478,"none",48,19,70
479,"bronze",0,0,176
480,"none",30,0,51
481,"none",37,20,51
482,"none",24,20,171
483,"none",81,12,242
484,"silver",2,18,143
485,"none",83,18,143
486,"none",129,19,234
487,"none",149,20,234
488,"none",27,22,172
489,"none",41,14,106
490,"none",45,12,106
491,"none",66,13,106
492,"none",205,1,234
493,"none",198,7,87
494,"none",17,25,88
495,"none",12,13,88
496,"bronze",1,0,88
497,"silver",4,18,216
498,"none",4,26,125
499,"none",24,18,231
500,"bronze",1,21,149
501,"none",22,21,149
502,"bronze",0,0,149
503,"none",27,8,149
504,"none",159,7,234
505,"none",152,12,234
506,"none",31,9,180
507,"none",10,1,231
508,"none",8,8,231
509,"none",12,7,231
510,"none",26,12,226
511,"none",46,1,226
512,"none",63,22,21
513,"bronze",8,1,155
514,"silver",7,13,155
515,"none",20,21,40
516,"none",9,25,61
517,"none",21,21,231
518,"none",101,21,31
519,"gold",2,23,157
520,"none",142,14,234
521,"none",195,8,87
522,"none",54,10,87
523,"silver",16,5,87
524,"silver",12,11,87
525,"none",62,11,87
526,"none",45,19,155
527,"gold",1,3,216
528,"bronze",2,3,216
529,"gold",3,4,216
530,"silver",4,4,216
531,"none",51,7,203
532,"none",71,0,143
533,"none",62,20,57
534,"none",8,13,103
535,"none",52,22,10
536,"none",78,25,10
537,"gold",2,12,10
538,"none",13,18,68
539,"none",69,12,143
540,"none",70,1,143
541,"none",9,13,70
542,"none",73,13,242
543,"bronze",10,12,57
544,"none",19,24,242
545,"none",77,13,10
546,"none",18,19,88
547,"none",16,20,88
548,"none",14,15,13
549,"none",70,11,41
550,"none",75,26,41
551,"none",70,1,242
552,"none",11,20,239
553,"none",8,13,228
554,"bronze",14,24,174
555,"none",155,13,115
556,"none",57,9,115
557,"none",65,18,157
558,"none",52,7,227
559,"none",9,12,141
560,"none",81,21,143
561,"none",17,0,198
562,"none",189,0,234
563,"none",29,5,234
564,"gold",7,11,41
565,"none",31,18,119
566,"none",27,0,119
567,"none",194,14,87
568,"none",3,8,212
569,"none",6,21,140
570,"silver",6,0,174
571,"none",134,20,174
572,"none",96,23,174
573,"none",54,22,143
574,"none",27,4,60
575,"none",35,10,60
576,"none",86,8,90
577,"none",13,17,174
578,"none",16,2,174
579,"none",156,12,174
580,"none",140,1,174
581,"none",188,0,87
582,"none",30,20,108
583,"none",5,1,159
584,"none",47,25,35
585,"none",60,19,35
586,"none",3,1,186
587,"none",4,13,186
588,"none",137,0,13
589,"none",66,7,206
590,"none",10,23,225
591,"none",5,24,225
592,"none",18,18,67
593,"none",134,20,41
594,"none",5,21,190
595,"none",111,23,13
596,"silver",6,24,234
597,"silver",10,18,234
598,"none",179,21,234
599,"none",43,21,176
600,"gold",28,1,234
601,"gold",26,13,234
602,"none",120,18,13
603,"none",135,21,13
604,"none",184,8,13
605,"bronze",38,13,238
606,"none",76,22,41
607,"bronze",2,9,234
608,"none",201,0,238
609,"none",80,14,157
610,"gold",2,12,157
611,"gold",5,1,157
612,"silver",8,13,157
613,"gold",11,1,87
614,"silver",5,22,174
615,"none",96,24,215
616,"none",33,18,114
617,"none",20,21,114
618,"none",12,7,88
619,"none",38,21,172
620,"none",3,21,205
621,"none",3,8,205
622,"none",79,13,227
623,"none",157,13,234
624,"none",38,7,3
625,"none",176,12,80
626,"none",182,0,80
627,"none",117,22,80
628,"none",85,0,206
629,"none",123,22,234
630,"none",119,25,234
631,"none",11,22,88
632,"none",3,12,127
633,"none",2,1,127
634,"none",16,18,88
635,"none",13,21,88
636,"none",46,3,87
637,"silver",1,12,160
638,"none",22,18,160
639,"none",34,8,160
640,"none",29,0,160
641,"none",10,8,213
642,"none",4,7,213
643,"none",22,16,215
644,"none",53,24,155
645,"none",68,9,80
646,"none",7,1,72
647,"none",6,13,72
648,"silver",5,18,31
649,"silver",2,21,31
650,"none",1,7,205
651,"none",6,18,205
652,"silver",3,0,160
653,"gold",3,1,31
654,"none",11,20,40
655,"none",9,8,75
656,"none",10,7,75
657,"none",10,12,75
658,"none",13,13,231
659,"none",21,24,160
660,"none",16,25,31
661,"none",37,29,238
662,"none",37,6,238
663,"none",7,12,154
664,"none",17,20,231
665,"none",19,12,11
666,"none",2,7,128
667,"none",68,24,31
668,"bronze",16,0,80
669,"gold",15,8,80
670,"none",173,7,80
671,"none",38,13,146
672,"silver",13,26,87
673,"none",70,26,87
674,"gold",43,8,238
675,"none",105,0,31
676,"none",123,22,87
677,"silver",19,22,87
678,"none",129,25,87
679,"none",73,1,215
680,"gold",18,12,234
681,"bronze",18,1,234
682,"none",8,22,75
683,"none",6,8,217
684,"none",45,22,149
685,"none",9,25,149
686,"none",10,22,231
687,"none",12,18,61
688,"none",4,7,167
689,"none",27,16,216
690,"none",112,0,215
691,"none",31,6,215
692,"none",27,17,215
693,"none",27,29,215
694,"bronze",3,7,130
695,"none",41,14,130
696,"none",124,18,215
697,"none",45,13,130
698,"none",110,20,104
699,"none",47,20,172
700,"none",6,18,145
701,"none",58,8,176
702,"none",29,25,176
703,"none",54,19,176
704,"none",4,20,222
705,"gold",36,12,238
706,"gold",45,1,238
707,"silver",28,1,238
708,"gold",46,13,238
709,"none",8,13,152
710,"none",16,18,107
711,"none",30,21,107
712,"silver",3,8,31
713,"bronze",6,7,31
714,"none",3,22,27
715,"none",1,20,27
716,"none",85,14,155
717,"none",83,12,155
718,"none",132,12,31
719,"none",125,1,31
720,"none",80,8,31
721,"silver",4,8,104
722,"none",6,27,209
723,"none",36,24,146
724,"none",160,14,232
725,"none",160,12,232
726,"none",32,5,118
727,"none",16,13,122
728,"none",136,8,232
729,"none",166,7,232
730,"none",16,18,105
731,"none",3,12,4
732,"none",79,21,216
733,"none",48,11,216
734,"silver",22,25,87
735,"none",66,20,14
736,"none",38,23,216
737,"none",67,1,21
738,"none",61,9,216
739,"none",9,9,21
740,"none",53,12,21
741,"none",79,0,216
742,"none",113,20,216
743,"none",15,28,216
744,"none",25,13,176
745,"none",184,8,181
746,"none",16,18,149
747,"none",23,1,134
748,"none",23,13,134
749,"none",11,14,75
750,"none",43,24,216
751,"none",19,21,108
752,"none",2,9,222
753,"bronze",4,5,181
754,"none",28,7,108
755,"none",8,13,191
756,"silver",1,8,160
757,"none",35,7,160
758,"none",10,13,6
759,"bronze",14,23,180
760,"bronze",2,13,206
761,"none",106,7,90
762,"none",102,12,90
763,"none",74,1,90
764,"none",59,13,90
765,"none",32,0,108
766,"none",27,25,166
767,"none",13,21,166
768,"none",3,16,108
769,"none",66,1,180
770,"none",50,18,180
771,"gold",19,18,180
772,"bronze",16,18,180
773,"none",10,9,227
774,"none",6,1,182
775,"bronze",11,14,113
776,"silver",9,12,113
777,"none",155,13,113
778,"none",3,11,240
779,"none",55,8,56
780,"none",51,7,56
781,"none",3,7,66
782,"none",22,29,234
783,"none",5,8,66
784,"none",5,19,168
785,"none",14,24,198
786,"none",2,20,23
787,"none",5,0,23
788,"none",5,1,222
789,"none",73,24,80
790,"none",4,21,100
791,"none",6,8,100
792,"none",50,7,64
793,"none",49,13,164
794,"none",13,22,119
795,"none",21,25,119
796,"none",17,15,215
797,"none",57,14,3
798,"none",88,20,180
799,"none",136,0,104
800,"none",121,21,104
801,"none",131,8,104
802,"none",18,14,11
803,"none",55,25,108
804,"none",4,24,137
805,"none",5,18,137
806,"none",5,21,137
807,"none",6,14,137
808,"gold",7,12,155
809,"gold",6,1,155
810,"none",43,4,80
811,"silver",11,1,80
812,"none",74,25,113
813,"none",3,18,131
814,"gold",14,26,41
815,"gold",10,9,41
816,"silver",9,11,238
817,"none",58,12,14
818,"gold",10,25,104
819,"none",8,16,10
820,"none",22,8,226
821,"none",73,9,113
822,"none",8,12,198
823,"none",33,23,90
824,"none",42,18,176
825,"none",8,18,59
826,"none",18,12,67
827,"none",3,8,23
828,"none",52,21,10
829,"gold",11,7,57
830,"none",5,21,222
831,"none",6,7,6
832,"none",15,22,239
833,"none",69,18,10
834,"none",9,24,97
835,"none",61,8,57
836,"none",17,24,55
837,"none",35,25,209
838,"none",9,18,168
839,"none",6,0,168
840,"bronze",4,24,57
841,"none",86,14,57
842,"none",82,12,57
843,"none",17,19,55
844,"none",57,25,143
845,"bronze",4,1,209
846,"none",111,20,143
847,"none",53,23,143
848,"none",1,14,22
849,"none",17,21,55
850,"none",12,21,45
851,"silver",4,13,209
852,"none",88,13,57
853,"none",1,5,225
854,"none",14,22,57
855,"none",6,12,158
856,"bronze",11,0,57
857,"none",38,14,176
858,"none",13,11,10
859,"none",66,0,10
860,"none",6,12,170
861,"none",9,1,170
862,"none",10,13,170
863,"none",79,11,238
864,"none",8,0,158
865,"none",8,8,158
866,"none",11,1,239
867,"silver",1,13,107
868,"none",27,8,119
869,"none",165,8,234
870,"none",125,25,13
871,"none",2,12,52
872,"none",2,1,52
873,"none",27,14,149
874,"none",22,24,40
875,"none",10,25,160
876,"silver",2,28,238
877,"none",39,17,238
878,"none",5,0,222
879,"none",11,0,88
880,"none",13,19,149
881,"none",72,20,64
882,"bronze",1,6,215
883,"none",40,10,215
884,"bronze",5,5,215
885,"bronze",2,17,215
