"id","type","id_jo","id_country"
345,"none",13,21
346,"none",12,13
347,"none",1,13
348,"none",0,177
349,"none",8,177
350,"none",21,65
351,"none",0,65
352,"none",7,238
353,"none",14,238
354,"none",12,238
355,"none",1,238
356,"none",7,13
357,"none",14,13
358,"none",12,13
359,"none",12,211
360,"none",18,41
361,"none",18,41
362,"Bronze",18,41
363,"none",20,212
364,"none",23,108
365,"none",1,40
366,"none",8,52
367,"none",7,41
368,"none",18,69
369,"none",14,69
370,"none",21,69
371,"none",21,69
372,"none",0,69
373,"none",0,69
374,"none",8,44
375,"none",13,40
376,"none",21,69
377,"none",13,118
378,"none",13,34
379,"none",24,109
380,"none",7,121
381,"none",8,134
382,"none",7,134
383,"none",7,69
384,"none",7,69
385,"none",12,69
386,"none",0,134
387,"none",8,34
388,"none",7,34
389,"none",7,212
390,"none",22,109
391,"none",25,109
392,"none",18,195
393,"none",24,217
394,"none",24,109
395,"none",23,121
396,"none",23,121
397,"none",22,109
398,"none",0,177
399,"none",21,135
400,"none",7,17
401,"none",18,195
402,"none",23,108
403,"none",18,117
404,"none",18,17
405,"none",20,75
406,"none",19,134
407,"Gold",22,166
408,"Silver",25,166
409,"none",12,109
410,"none",1,109
411,"none",22,109
412,"none",22,109
413,"none",22,109
414,"none",24,109
415,"none",18,195
416,"none",8,233
417,"none",21,
418,"none",24,121
419,"none",24,121
420,"none",14,107
421,"none",14,109
422,"none",14,109
423,"none",19,160
424,"none",19,160
425,"none",20,160
426,"none",20,160
427,"none",12,41
428,"none",1,69
429,"Gold",20,
430,"none",19,172
431,"none",19,172
432,"none",19,172
433,"none",19,172
434,"none",19,172
435,"none",1,109
436,"none",0,69
437,"none",0,69
438,"none",12,177
439,"none",21,69
440,"none",14,238
441,"none",0,109
442,"none",0,69
443,"none",21,233
444,"none",21,233
445,"none",21,233
446,"none",21,233
447,"none",21,233
448,"none",21,233
449,"none",18,233
450,"none",22,109
451,"none",0,121
452,"none",8,134
453,"none",8,134
454,"none",8,134
455,"none",7,134
456,"none",0,
457,"none",8,
458,"none",19,212
459,"none",20,212
460,"none",21,160
