"id","type","id_jo","id_country"
75001,"none",2,129
75002,"none",2,129
75003,"none",2,129
75004,"none",23,234
75005,"none",24,234
75006,"none",1,13
75007,"none",24,110
75008,"none",18,110
75009,"none",21,110
75010,"none",1,113
75011,"none",13,113
75012,"none",25,24
75013,"none",19,24
75014,"none",22,110
75015,"none",25,110
75016,"Gold",7,13
75017,"none",24,110
75018,"Gold",14,238
75019,"Bronze",12,238
75020,"none",12,155
75021,"none",12,155
75022,"none",23,41
75023,"none",12,155
75024,"none",3,87
75025,"none",12,238
75026,"none",23,41
75027,"none",20,234
75028,"none",25,13
75029,"none",18,225
75030,"none",19,238
75031,"none",18,164
75032,"none",9,87
75033,"none",19,
75034,"none",19,
75035,"none",19,
75036,"none",19,
75037,"none",19,
75038,"none",19,
75039,"none",19,
75040,"none",19,
75041,"none",11,87
75042,"none",12,87
75043,"none",12,41
75044,"none",12,41
75045,"none",12,41
75046,"none",12,41
75047,"none",25,238
75048,"none",23,110
75049,"none",20,234
75050,"none",20,234
75051,"none",20,234
75052,"none",20,234
75053,"none",20,234
75054,"none",20,234
75055,"none",14,206
75056,"none",7,155
75057,"none",25,13
75058,"none",25,13
75059,"Gold",22,87
75060,"none",12,87
75061,"none",20,
75062,"none",23,
75063,"none",24,
75064,"Bronze",18,
75065,"Gold",11,87
75066,"none",19,45
75067,"Gold",17,
75068,"Gold",17,
75069,"Silver",2,
75070,"Silver",2,
75071,"Silver",3,87
75072,"Bronze",4,87
75073,"none",14,157
75074,"none",12,157
75075,"none",1,157
75076,"none",14,234
75077,"none",24,171
75078,"none",18,171
75079,"none",21,171
75080,"none",21,171
75081,"none",8,60
75082,"Silver",13,80
75083,"none",12,60
75084,"none",12,202
75085,"none",4,60
75086,"none",23,
75087,"none",12,60
75088,"none",14,60
75089,"none",12,60
75090,"none",1,60
75091,"none",24,
75092,"none",18,157
75093,"none",18,157
75094,"none",13,238
75095,"none",1,227
75096,"Silver",17,
75097,"none",2,
75098,"Bronze",3,
75099,"none",4,60
75100,"Bronze",21,
75101,"Bronze",0,
75102,"none",8,232
75103,"none",7,232
75104,"none",14,174
75105,"none",12,174
75106,"none",7,232
75107,"none",7,232
75108,"none",12,174
75109,"none",20,
75110,"none",20,
75111,"none",14,232
75112,"none",3,180
75113,"none",3,180
75114,"none",3,180
75115,"none",3,180
75116,"none",3,180
75117,"none",4,180
75118,"none",4,180
75119,"none",4,180
75120,"none",4,180
75121,"none",4,180
75122,"none",14,13
75123,"Bronze",14,13
75124,"none",12,13
75125,"none",1,13
75126,"none",13,13
75127,"Silver",27,
75128,"Bronze",28,
75129,"none",23,110
75130,"none",23,110
75131,"none",22,110
75132,"none",22,110
75133,"none",14,238
75134,"none",0,164
75135,"none",8,164
75136,"none",28,115
75137,"none",29,115
75138,"none",6,115
75139,"none",9,115
75140,"none",15,115
75141,"none",15,115
75142,"none",25,115
