"id","name","sex","height","wheight","team","id_country"
81615,"Annette Schortinghuis-Poelenije","F","176","64","Netherlands",155
81616,"Sofoklis Schortsanitis","M","207","156","Greece",90
81617,"Hubert Schsser","M","177","85","Austria-1",14
81618,"Albert Edward  Schoterman","M","186","118","United States",238
81619,"Franck Schott","M","187","80","France",80
81620,"Karl-Ernst Schottes","M","191","81","Germany",87
81621,"Johannes Schttler","M","192","84","Germany",87
81622,"Olivia Alma Charlotta Schough","F","172","60","Sweden",215
81623,"Antoine Schouten","M","178","77","Canada",41
81624,"Bob Schoutsen","M","185","77","Netherlands",155
81625,"Alexander Schowtka","M","192","87","West Germany",
81626,"Dirk Schrade","M","183","68","Germany",87
81627,"Michael Schrader","M","184","81","Germany",87
81628,"Beate Schramm","F","188","77","East Germany",
81629,"Claudia Schramm","F","183","83","Germany-3",87
81630,"Norbert Schramm","M","178","70","West Germany",
81631,"Josef  Schramm","M","180","85","West Germany",
81632,"Jrg Schramme","M","182","84","East Germany",
81633,"Karl Schranz","M","175","73","Austria",14
81634,"Brian Raymond Schrapel","M","173","62","Australia",13
81635,"Werner Schraut","M","160","66","West Germany",
81636,"Gerald Click  Schreck","M","175","77","United States",238
81637,"Ulrich Rainer Schreck","M","188","80","West Germany",
81638,"Jana Schreckenbach","F","172","69","Germany",87
81639,"Margit Schreib","F","174","61","Germany",87
81640,"Alexandra Schreiber (-Little)","F","174","66","Germany",87
81641,"Belinda Schreiber","F","164","58","Switzerland",216
81642,"Christian Schreiber","M","187","91","Germany",87
81643,"Daniela Schreiber","F","184","67","Germany",87
81644,"Hartmut Schreiber","M","190","90","East Germany",
81645,"Jens Schreiber","M","193","83","Germany",87
81646,"Wallace E.  Schreiber","M","180","79","Canada",41
81647,"William Schreiber","M","189","85","Romania",180
81648,"Christian Schreier","M","180","73","West Germany",
81649,"Andrea Schreiner","F","176","69","Canada",41
81650,"Curtis John  Schreiner","M","175","75","United States",238
81651,"Detlef Schrempf","M","205","96","West Germany",
81652,"Nikole Schrepfer","F","168","58","Switzerland",216
81653,"Arjan Schreuder","M","178","71","Netherlands",155
81654,"Hinkelien Schreuder","F","179","61","Netherlands",155
81655,"Mikel Schreuders","M","189","90","Aruba",12
81656,"Dirk Schreyer","M","184","84","West Germany",
81657,"Stefan Schreyer","M","185","84","East Germany",
81658,"Hermann Schridde","M","178","62","Germany",87
81659,"Johannes Leo Jozef  Schrier","M","182","80","Netherlands",155
81660,"Tim Schrijver","M","203","104","Canada",41
81661,"Nathan Schrimsher","M","188","79","United States",238
81662,"Andreas Schrder","M","188","130","East Germany",
81663,"Anne Schrder","F","170","58","Germany",87
81664,"Hans-Christian Schrder","M","183","84","East Germany",
81665,"David Schrder","M","180","70","Germany",87
81666,"Diana Schrder","F","163","46","Germany",87
81667,"Frank Schrder","M","183","69","East Germany",
81668,"Gerco Bernardus Schrder","M","165","71","Netherlands",155
81669,"Jrgen Schrder","M","181","78","West Germany",
81670,"Katrin Schrder","F","184","79","East Germany",
81671,"Roland Schrder","M","192","90","East Germany",
81672,"Udo Schrder","M","173","68","East Germany",
81673,"Uwe Schrder","M","178","81","West Germany",
81674,"Walter Schrder","M","180","78","Germany",87
81675,"Wim Gerardus Schrder","M","177","75","Netherlands",155
81676,"James Lee  Schroeder","M","206","102","United States",238
81677,"Georges  Schroeder","M","197","118","Belgium",21
81678,"Richard Alan  Schroeder","M","183","79","United States",238
81679,"Terry Alan Schroeder","M","190","95","United States",238
81680,"Fabian Schroedter","M","204","98","Germany",87
81681,"Beatrix Schrer (Lehmann-)","F","186","75","East Germany",
81682,"Gnter Schroers","M","187","82","Germany",87
81683,"Alexander Schroff","M","185","72","Switzerland",216
81684,"Daniel Schroff","M","180","93","Switzerland",216
81685,"Thomas Schroll","M","183","87","Austria-2",14
81686,"Martina Schrter","F","181","71","East Germany",
81687,"Tobias Schrter","M","183","76","East Germany-3",
81688,"Werner Schrter","M","174","75","West Germany",
81689,"Beate Schrott","F","177","71","Austria",14
81690,"Hubert Schrott","M",,,"Austria",14
81691,"Karl Schrott","M","174","77","Austria-1",14
81692,"Beatrix  Schuba","F","170","67","Austria",14
81693,"Beate Schubert","F","172","63","East Germany",
81694,"Christoph Schubert","M","190","103","Germany",87
81695,"Dieter Schubert","M","187","83","East Germany",
81696,"Gerd Schubert","M","165","53","West Germany",
81697,"Grant Luke Schubert","M","180","82","Australia",13
81698,"Knut Schubert","M","167","63","East Germany-2",
81699,"Michael Schubert","M","194","112","East Germany",
81700,"Wolf Rainer Schubert","M","190","78","West Germany",
81701,"Rosemarie Schubert","F","170","61","Germany",87
81702,"Siegfried Schubert","M","173","74","Germany",87
81703,"Edeltraud  Schubert","F","162","52","West Germany",
81704,"Gerson Albino Schuch","M","186","83","Brazil",31
81705,"Irene Schuch (Stechmesser-, -Grieser)","F","172","78","Germany",87
81706,"Timuzsin Schuch","M","197","105","Hungary",104
81707,"Brigitte Schuchardt","F","165","52","East Germany",
81708,"Alexander Schuck","M","173","75","East Germany",
81709,"Anett Schuck","F","168","65","Germany",87
81710,"Carl Francis Schueler","M","183","70","United States",238
81711,"Jens Schuermans","M","175","64","Belgium",21
81712,"Bill Schuffenhauer","M","183","100","United States-1",238
81713,"Brengre Simone Rolande Schuh","F","164","53","France",80
81714,"Hans-Joachim Schuhmacher","M","182","88","West Germany-1",
81715,"Kurt Schuhmann","M","180","79","West Germany",
81716,"Richard  Schuil","M","202","95","Netherlands",155
81717,"Rob  Schuiten","M","184","83","Netherlands",155
81718,"Robert Keyser  Schul","M","184","66","United States",238
81719,"Horst Franz Schuldes","M","175","76","Germany",87
