"id","name","sex","height","wheight","team","id_country"
56,"Jouan Patrice Abanda Etong","M","185","82","Cameroon",40
57,"Antoine Abang","M","166","75","Cameroon",40
58,"Salim Abanoz","M",,,"Turkey",227
59,"Jos Mara Abarca Plotas","M","186","83","Spain",209
60,"Georgios Abaris","M","190","77","Greece",90
61,"Enrique Abaroa Martnez","M","183","75","Mexico",143
62,"Carlos Arturo Abarza Chavez","M",,,"Chile",45
63,"Stephen Anthony Abas","M","165","55","United States",238
64,"Alejandro Abascal Garca","M","181","82","Spain",209
65,"Jos Manuel Abascal Gmez","M","182","67","Spain",209
66,"Rost'om Omeris dze Abashidze","M","188","97","Soviet Union",
67,"Nunu Dzhansuhivna Abashydze (-Myslaieva)","F","168","105","Soviet Union",
68,"Rodrigo Abasolo","M",,,"Chile",45
69,"Tamila Rashidovna Abasova","F","163","60","Russia",181
70,"Emanuele Abate","M","190","80","Italy",113
71,"Ignazio Abate","M","180","73","Italy",113
72,"Jol Marc Abati","M","190","85","France",80
73,"Ral Abatte","M",,,"Chile",45
74,"Georgia Abatzidou","F","155","43","Greece",90
75,"Carlos Rodolfo Abaunza Balladares","M","168","60","Nicaragua",158
76,"Carlos Alberto Abaunza","M","180","70","Nicaragua",158
77,"Hctor Abaunza","M","169","75","Mexico",143
78,"Pter Abay","M","181","79","Hungary",104
79,"Adeyemi Abayomi","M","170","51","Nigeria",160
80,"Gana Abba Kimet","M",,,"Chad",44
81,"Ilyas Abbadi","M","175","75","Algeria",3
82,"Agostino Abbagnale","M","188","96","Italy",113
83,"Carmine Abbagnale","M","182","90","Italy",113
84,"Giuseppe Abbagnale","M","187","97","Italy",113
85,"Abdul Latif Al-Sayed Abbas Youssef Hashem","M","176","64","Kuwait",121
86,"Abubakar Abbas Abbas","M","175","66","Bahrain",17
87,"Aqarab Abbas","M","190","88","Pakistan",166
88,"Aziz Abbas","M","169","67","Iraq",109
89,"Bassim Abbas Kati Al-Ogaili","M","175","80","Iraq",109
90,"Essa Abbas Faleh Hashem","M","160","65","Kuwait",121
91,"Ghulam Abbas","M","181","74","Pakistan",166
92,"Hosni Mohamed Abbas","M",,"60","United Arab Republic",
93,"Maher Abbas","M","178","78","Lebanon",125
94,"Mahmoud Abbas","M","165","65","Egypt",69
95,"Mohammed Abbas Sabih","M","170","70","Iraq",109
96,"Muhammad Abbas","M","168","55","Pakistan",166
97,"Nader Sufyan Abbas","M","173","77","Qatar",177
98,"Sohail Abbas","M","178","80","Pakistan",166
99,"Zulkifli Abbas","M","170","62","Malaysia",134
100,"Forough Abbasi","F","164","58","Iran",108
101,"Shakeel Abbasi","M","165","60","Pakistan",166
102,"Soulmaz Abbasi Azad","F","173","60","Iran",108
103,"Ruslan Abbasov","M","181","74","Azerbaijan",15
104,"Tural Abbasov","M","182","76","Azerbaijan",15
105,"Tran Abbasova","F","159","53","Azerbaijan",15
106,"Simona Abbate","F","171","64","Italy",113
107,"Christian Abbiati","M","192","90","Italy",113
108,"Lois Abbingh","F","178","72","Netherlands",155
109,"Alessandro Abbio","M","195","85","Italy",113
110,"Giordano Giulio Abbondati","M","175","64","Italy",113
111,"Salwan Jasim Abbood Abbood","M","180","104","Iraq",109
112,"William  Abbott Jr.","M","172","80","Canada",41
113,"Clare Abbott","F","167","58","Ireland",110
114,"Desmond  Abbott","M","184","87","Australia",13
115,"Geoffrey Grant Abbott","M","179","80","South Africa",206
116,"Jeremy Abbott","M","175","70","United States",238
117,"Joanne Abbott","F","160","57","Canada",41
118,"Kathryn  Abbott","F","164","63","Canada",41
119,"Mara Katherine Abbott","F","163","52","United States",238
120,"Matt Abbott","M","185","91","Canada",41
121,"Monica Cecilia Abbott","F","191","88","United States",238
122,"Khadija Abbouda","F","165","57","Morocco",149
123,"Mohamed Ibrahim Abd El-Fatah Mohamed","M","185","98","Egypt",69
124,"Mahmoud Abd El-Kader","M","195","94","Egypt",69
125,"Mohamed Ibrahim Abd El-Salam","M","192","83","Egypt",69
126,"Noha Abd Rabo","F",,,"Egypt",69
127,"Reem Wa'il Abdalazem Abdalazem El-Bossaty","F","167","60","Egypt",69
128,"Ali Abdalla Afringi","M","163","57","Eritrea",72
129,"Hossam Abdalla","M","203","97","Egypt",69
130,"Hosam Abdallah","M",,,"Egypt",69
131,"Ismail Abdallah","M",,,"United Arab Republic",
132,"Maged Abdallah","M",,,"Egypt",69
133,"Nia Nicole Abdallah","F","175","56","United States",238
134,"Omari Abdallah","M","168","57","Tanzania",235
135,"Younis Abdallah Rabee","M","169","68","Kuwait",121
136,"Raida Abdallah Bader","F","158","49","Jordan",117
137,"Maha Abdalsalam Gouda","F","172","61","Egypt",69
138,"Mahmoud Abdel Aziz","M","174","70","Egypt",69
139,"Mohamed Abdel Ellah","M","168","68","Egypt",69
140,"Mohamed Abdel Fatah","M","170","69","Sudan",212
141,"Ali Mohamed Badawi Abdel Fattah Badawi","M",,,"United Arab Republic",
142,"Mahmoud Atter Abdel Fattah","M",,,"United Arab Republic",
143,"Mohamed Abdel Fattah","M","174","69","Egypt",69
144,"Sayed Abdel Gadir","M","180","56","Sudan",212
145,"Ibrahim Saad Abdel Galil","M","176","73","Sudan",212
146,"Heba Abdel Gawad","F","154","48","Egypt",69
147,"Sara Abdel Gawad","F","153","46","Egypt",69
148,"Gamal Amin Abdel Ghani","M",,,"Egypt",69
149,"Abdel Sattar Abdel Hadj","M",,,"United Arab Republic",
150,"Ragy Abdel Hady","M","186","100","Egypt",69
151,"Mohamed Abdel Hafiz","M",,,"United Arab Republic",
152,"Moustafa Ali Abdel Halim","M","152","52","Egypt",69
153,"Mohamed Abdel Hamed","M","193","82","Egypt",69
154,"Hwad Ibrahim Abdel Hamid Lumomba","M","162","57","Sudan",212
155,"Tamer Mohamed Abdel Hamid","M",,,"Egypt",69
156,"Ahmed El-Sayed Abdel Hamid Mobarak","M","189","85","Egypt",69
157,"Dorri Abdel Kader Said","M",,,"United Arab Republic",
158,"Moustafa Mounib Abdel Kader","M","176","67","United Arab Republic",
159,"Mohamed Ali Abdel Kerim","M",,"81","United Arab Republic",
160,"Mohamed Abdel Khaled","M","183","76","Tunisia",226
161,"Abdel Latif Abdel Latif","M","172","68","Egypt",69
162,"Walid Abdel Maksoud","M",,,"Egypt",69
163,"Amir Abdel Meguid","M","178","67","Egypt",69
164,"Mohamed Abdel Mohamed","M",,,"Egypt",69
165,"Karim Abdel Mohsen","M","188","92","Egypt",69
166,"Awad Abdel Nabi Awad","M","198","80","Egypt",69
167,"Ahmed Abdel Naeim","M","197","87","Egypt",69
168,"Moustafa Abdel Naser","M","176","74","Libya",128
169,"Ali Abdel Radi","M",,,"Egypt",69
170,"Amin Abdel Rahman","M",,,"United Arab Republic",
171,"Ibrahim Abdel Rahman","M",,,"United Arab Republic",
172,"Khaled Abdel Rahman","M","188","79","Egypt",69
173,"Sameh Abdel Rahman","M",,,"United Arab Republic",
174,"Yasser Abdel Rahman Sakr","M","180","120","Egypt",69
175,"Samy Abdel Razek","M","170","60","Egypt",69
176,"Mohamed Youssef Abdel Razik","M",,,"Egypt",69
177,"Ibrahim Ahmed Abdel Rehim","M","190","83","Egypt",69
178,"Kamal Abdel Rehim","M","190","95","Egypt",69
179,"Reskalla Mohamed Abdel Rehim","M","165","48","Egypt",69
180,"Ahmed Ali Abdel Samad","M","195","95","Egypt",69
181,"Ali Abdel Sami","M",,,"Egypt",69
182,"Mohamed Abdel Sami","M",,,"United Arab Republic",
183,"Sameh Abdel Waress Muhammad","M",,,"Egypt",69
184,"Mohamed Said Abdel Wehab","M","157","48","Egypt",69
185,"Shaimaa Abdel-Latif-Hashad","F","165","57","Egypt",69
186,"Sanad Bushara Abdel-Nadif","M",,,"Sudan",212
187,"Ahmed Abdelaal","M","188","89","Egypt",69
188,"Mahmoud Abdelaal","M","176","60","Egypt",69
189,"Mohamed Ali Abdelaal","M","175","81","Egypt",69
190,"Mahmod Abdelaly","M",,,"Egypt",69
191,"Ibrahim Ramadan Ibrahim Abdelbaki","M","173","77","Egypt",69
192,"Aziza Abdelfattah","F","159","51","Egypt",69
193,"Abdalla Abdelgadir El-Sheikh","M","170","58","Sudan",212
194,"Magdi Abdelghani Sayed Ahmed","M",,,"Egypt",69
195,"Ragab Abdelhay Saad Abdelrazek Abdallah","M","170","94","Egypt",69
196,"Mohamed Abdellah","M","170","70","Egypt",69
197,"Ayoub Abdellaoui","M","184","68","Algeria",3
198,"Leila Abdelmoez","F","160","46","Egypt",69
199,"Sayed Abdelmonem Sayed Hamed","M","170","60","Egypt",69
200,"Ahmed Abdelrahman","M","165","60","Egypt",69
201,"Ihab Abdelrahman El-Sayed Abdelrahman","M","194","96","Egypt",69
202,"Raouf Abdelraouf","M","167","63","Egypt",69
203,"Abouelfetoh Abdelrazek","M",,,"Egypt",69
204,"Mamdouh Abdelrehim","M","207","90","Egypt",69
205,"El-Hachemi Abdenouz","M","170","63","Algeria",3
206,"Rda Abdenouz","M","170","63","Algeria",3
207,"Mouni Abderrahim","F","173","60","Algeria",3
208,"Saeid Morad Abdevali","M","170","80","Iran",108
209,"Bashir Abdi","M","176","56","Belgium",21
210,"Youcef Abdi","M","178","66","Australia",13
211,"Jamal Abdi Hassan Abdullah","M","177","65","Qatar",177
212,"Talal Omar Abdillahi","M","170","57","Djibouti",65
213,"Abdihakim  Abdirahman","M","178","61","United States",238
214,"Ali Abdo","M","169","74","Australia",13
215,"Hamza Abdo","M",,,"Palestine",211
216,"Reema Abdo","F","173","59","Canada",41
217,"Ahmed Abdo Mustafa","M",,,"Sudan",212
218,"Nasrollah Abdollahi","M","183","75","Iran",108
219,"Yhyacinthe Mewoli Abdon","M","176","60","Cameroon",40
220,"Hassane Abdou","M","185","67","Comoros",52
221,"Justin Abdou","M","175","85","Canada",41
222,"Moustafa Ahmed Ismail Abdou Ali Arfah","M",,,"Egypt",69
223,"Raouf Abdou","M","165","60","Egypt",69
224,"Mohamed Abdou El-Souad","M","180","76","Egypt",69
225,"Brahim Daoud Abdoulaye","M",,"71","Chad",44
226,"Fawziya Abdoulkarim","F","180","67","Cameroon",40
227,"Alaa El-Din Abdoun","M","188","78","Egypt",69
228,"Berik Abdrakhmanov","M","165","60","Kazakhstan",118
229,"Maizurah Abdul Rahim","F","147","50","Brunei",34
230,"Mehdi Fahim Abdul Al-Sada","M","184","70","Iraq",109
231,"Bashir Abdullah Abdul Aziz","M","180","73","Kuwait",121
232,"Chairil Anwar Abdul Aziz","M","163","61","Malaysia",134
233,"Shaimaa Abdul Aziz","F","160","53","Egypt",69
234,"Mohamed Abdul Hadj","M",,,"Malaysia",134
235,"Jefri Kiko Bolkiah Abdul Hakeem","M","172","90","Brunei",34
236,"Mohamed Abdul Hamid","M","175","55","Sudan",212
237,"Hadi Abdul Jabbar","M","180","117.5","Iraq",109
238,"Mohamed Abed Abdul Jawad","M","169","65","Saudi Arabia",195
239,"Anouar Abdul Kader","M",,,"Syria",217
240,"Talal Hassoun Abdul Kader","M",,"82","Iraq",109
241,"Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem","M","169","60","Kuwait",121
242,"Taha Abdul Karim","M","156","59","Iraq",109
243,"Masoud Abdul Khamis Al-Rahman","M","176","68","Qatar",177
244,"Abdul Haji Abdul Latheef","M","168","54","Maldives",135
245,"Fatima Abdul Majeed Hameed Al-Kirashi","F",,,"Bahrain",17
246,"Majed Ahmed Abdul Mohamed","M","172","70","Saudi Arabia",195
247,"Firouz Abdul Mohammadian","M","178","74","Iran",108
248,"Hussam Abdul Rahman","M","175","80","Jordan",117
249,"Mohamed Ghulom Abdul Rahman","M","175","85","Bahrain",17
250,"Suleman Abdul Rahman","M","174","55","Ethiopia",75
251,"Zambrose Abdul Rahman","M","173","64","Malaysia",134
252,"Lala Abdul Rashid","M","169","91","Pakistan",166
253,"Muhammad Abdul Rashid","M","181","72","Pakistan",166
254,"Dana Abdul Razak (Hussain-)","F","163","56","Iraq",109
255,"A. Abdul Razzak","M","178","70","Iraq",109
256,"Mohamed Abdul Razzak","M","177","68","Iraq",109
257,"Hazim Abdul Ridha","M","160","52","Iraq",109
258,"Samir Ahmed Abdul Shakour","M","180","72","Saudi Arabia",195
259,"Nabil Abdul Tahlak","M",,,"United Arab Emirates",233
260,"Fahmi Ahmed Abdul Wahab Al-Tahri","M",,,"North Yemen",
261,"Mohamed Abdul Wahab Al-Salah","M",,,"Kuwait",121
262,"Patmawati Abdul Wahid","F","158","58","Indonesia",107
263,"Haidar Abdul-Amir Hassan","M","185","80","Iraq",109
264,"Haidar Abdul-Razzaq Hassan","M","175","75","Iraq",109
265,"Lawal Kolawole  Abdulai","M","172","66","Nigeria",160
266,"Rukayatu  Abdulai","F","180","59","Canada",41
267,"Mona Ahmad Abdulaziz Hassanein","F","166","61","Egypt",69
268,"Zagalav Abdulbekovich Abdulbekov","M","160","62","Soviet Union",
269,"Roosevelt M. Abdulgafur","M","181","73","Philippines",172
270,"Ahmed Abdulkareem Ahmed","M",,,"Iraq",109
271,"Gamal Ahmed Abdulla","M",,,"Egypt",69
272,"Mohamed Sayed Abdulla","M",,,"Egypt",69
273,"Ahmad Hassan Abdullah","M","164","55","Qatar",177
274,"Ahmed Ghanim Abdullah","M","184","79","Egypt",69
275,"Aquil Hashim Abdullah (Shumate-)","M","187","83","United States",238
276,"Atallah Abdullah","M",,"88","Iraq",109
277,"Magdy Ahmed Abdullah","M",,,"Egypt",69
278,"Mohamed Abdullah","M","176","66","United Arab Emirates",233
279,"Mohamed Samy Abdullah","M","165","65","United Arab Emirates",233
280,"Osama Abdullah","M",,,"Kuwait",121
281,"Wan Azlan Abdullah","M","188","77","Malaysia",134
282,"Zarinah Abdullah","F",,,"Singapore",
283,"Abdel Wahab Abdullah Salih","M","190","75","Sudan",212
284,"Abubakar Sadiq Abdullahi","M",,,"Nigeria",160
285,"Abdulqdir Abdullayev","M","188","91","Azerbaijan",15
286,"Arif Yadulla Abdullayev","M","164","60","Azerbaijan",15
287,"Mukhammad Kadyr Abdullayev","M","169","63","Uzbekistan",240
288,"Muminzhon Abdullayev","M","190","130","Uzbekistan",240
289,"Namiq Yadulla Abdullayev","M","167","55","Azerbaijan",15
290,"Laye Abdullayeva","F","170","47","Azerbaijan",15
291,"lqar Abdulov","M","175","74","Azerbaijan",15
292,"Abdullah Abdulrahman Zeyab","M","177",,"Kuwait",121
293,"Abir Abdulrahman Khalil Mahmoud Khalil","F","162","72","Egypt",69
294,"Amer Abdulrahman Abdallah Hussain Al-Hammadi","M","168","68","United Arab Emirates",233
295,"Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi","M","168","62","United Arab Emirates",233
296,"Shaza Yahia Nazih Abdulrahman El-Sayed","F","170","59","Egypt",69
297,"Najim Abdulrazak Al-Enazy","M","150","60","Kuwait",121
298,"Zeyad Abdulrazak Al-Khudhur Al-Enazy","M","181","66","Kuwait",121
299,"Waheed Abdulridha Waheed Karaawi","M","178","74","Iraq",109
300,"Mohamed Abdultwab Ibrahim Abd El-Baki","M","162","69","Egypt",69
301,"Julius Shareef Abdur-Rahim","M","202","104","United States",238
302,"Sherzod Abdurahmonov","M","178","73","Uzbekistan",240
303,"Rasul Abduraim","M","183","74","Kyrgyzstan",122
304,"Bekzod Makhamadzhonovich Abdurakhmonov","M","172","74","Uzbekistan",240
305,"Mukhamadmurod Abdurakhmonov","M","192","117","Tajikistan",218
306,"Adlan Aliyevich Abdurashidov","M","172","60","Russia",181
307,"Yusup Abdusalomov","M","170","84","Tajikistan",218
308,"Fawzi Abdussalam","M","179","76","Libya",128
309,"Andrey Khakimovich Abduvaliyev","M","190","125","Unified Team",
310,"Dzhamolidin Mirgarifanovich Abduzhaparov","M","174","72","Soviet Union",
311,"Aybek Abdymomunov","M","162","54","Kyrgyzstan",122
312,"Kazumi Abe","M","178","67","Japan-1",115
313,"Kazuo Abe","M","166","69","Japan",115
314,"Kinya Abe","M","168","68","Japan",115
315,"Kiyoshi Abe","M","167","62","Japan",115
316,"Masashi Abe","M","175","64","Japan",115
317,"Naoki Abe","M","173","68","Japan",115
318,"Shigeaki Abe","M","178","70","Japan",115
319,"Shinnosuke Abe","M","179","91","Japan",115
320,"Sanshiro  Abe","M","166","57","Japan",115
321,"Tadashi Abe","M","190","80","Japan",115
322,"Tadatoshi Abe","M","170","60","Japan",115
323,"Wakako Abe","F","168","60","Japan",115
324,"Yoshiyuki Abe","M","175","67","Japan",115
325,"Yuki Abe","M","177","75","Japan",115
326,"Angelik Abebame","F",,,"Congo (Brazzaville)",53
327,"Addis Abebe","M","160","50","Ethiopia",75
328,"Biruk Abebe","M","173","62","Ethiopia",75
329,"Benaissa Abed","M","170","51","Algeria",3
330,"Soha Abed Elaal","F",,,"Egypt",69
331,"Mojtaba Abedini Shormasti","M","180","83","Iran",108
332,"Thophile Abega Mbida","M",,,"Cameroon",40
333,"Alexandre Abeid","M","194","92","Brazil",31
334,"Sonia Abejn Esteban","F","169","48","Spain",209
335,"Abel Carlos da Silva Braga","M","190","73","Brazil",31
336,"Brooke Abel","F","163","52","United States",238
337,"Gnther Abel","M","183","80","West Germany",
338,"Irene Abel","F","160","48","East Germany",
339,"Jennifer Abel","F","160","62","Canada",41
340,"Katja Abel","F","165","55","Germany",87
341,"Mara Abel Diguez","F","163","46","Spain",209
342,"Yaritza Abel Rojas","F",,"62","Cuba",57
343,"Abelardo Fernndez Antua","M",,,"Spain",209
344,"Arthur Abele","M","184","85","Germany",87
345,"Ruth Abeles","F","153","48","Israel",112
346,"Jos Javier Abella Fanjul","M","176","66","Mexico",143
347,"Ral Daniel Abella","M",,,"Argentina",10
348,"Alfonso Abelln Lpez","M","174","63","Spain",209
349,"Edwige Marie Abna Fouda","F","173","61","Cameroon",40
350,"Gezahgne Abera","M","166","58","Ethiopia",75
351,"Tesfaye Abera Dibaba","M","192","68","Ethiopia",75
352,"Hugo Ral Aberastegui","M","186","84","Argentina",10
353,"Bjrn Olof Conny berg","M","181","76","Sweden",215
354,"Sara Helena berg","F","190","73","Sweden",215
355,"Mohamed Aberhoune","M","187","75","Morocco",149
356,"Julianne  Abernathy","F","165","75","United States Virgin Islands",237
357,"Michael Brent Abernathy","M","182","84","United States",238
358,"Salim Abes","M",,,"Algeria",3
359,"Pasqualino Abeti","M","173","66","Italy",113
360,"Elvan Abeylegesse","F","159","40","Turkey",227
361,"Ruwani Abeymanne","F","160","53","Sri Lanka",210
362,"Matthew Duncan Abeysinghe","M","180","74","Sri Lanka",210
363,"Narek Abgaryan","M","166","52","Armenia",11
364,"Koutoua Francis Abia","M","180","80","Cote d'Ivoire",61
365,"Pablo Abin Vicen","M","177","68","Spain",209
366,"David Abibssira","M","179","63","France",80
367,"Silke Abicht","F","156","46","East Germany",
368,"Haithem Abid","M","179","72","Tunisia",226
369,"Younis Abid Sadkhan","M",,,"Iraq",109
370,"Jaiye Abidoye","M",,,"Nigeria",160
371,"Sagat Abikeyeva","F","160","78","Kazakhstan",118
372,"Mitsuhiro Abiko","M","169","62","Japan",115
373,"Tomomi Abiko","F","173","53","Japan",115
374,"Catherine  Abilla Awino","F","162","56","Kenya",119
375,"Ismail Abilov (-Nizamolu)","M","172","82","Bulgaria",35
376,"Camille Anne Franoise Abily","F","168","60","France",80
377,"Endurance Abinuwa","F","159","54","Nigeria",160
378,"Bode Abiodun","M","170","68","Nigeria",160
379,"Firmin Abissi","M","159","54","Benin",23
380,"Sarah Abitbol","F","150","43","France-1",80
381,"Inga Eduardovna Abitova","F","164","58","Russia",181
382,"Ceyhun Abiyev","M","163","48","Azerbaijan",15
383,"Diana Monteiro Abla","F","175","75","Brazil",31
384,"Enver Nazymovych Ablaiev","M","169","68","Ukraine",232
385,"Denis Mikhaylovich Ablyazin","M","161","62","Russia",181
386,"Karin Abma","F","174","62","Netherlands",155
387,"Thorine Christelle Aboa Mbeza","F","182","78","Cameroon",40
388,"Felix Ahmed Aboagye","M","176","70","Ghana",88
389,"Bukola Dammy Abogunloko","F","170","53","Nigeria",160
390,"Viktor Andreyevich Aboimov","M","190","78","Soviet Union",
391,"Mohamed Aboker","M","175","61","Somalia",205
392,"Ilze bola","F","169","60","Latvia",124
393,"Agnese boltia","F","166","60","Latvia",124
394,"Abdul Razzak Aboobakur","M","168","59","Maldives",135
395,"Matthew  Abood","M","197","92","Australia",13
396,"Piroska Abos Gvorgyzakab","F",,,"Spain",209
397,"Jean-Pierre Abossolo-Ze","M",,,"Cameroon",40
398,"Abdelhalim Muhammad Abou","M","210","88","Egypt",69
399,"Tarek Abou Al Dahab","M","170","64","Lebanon",125
400,"Bachir Hani Abou Assi","M","175","74","Lebanon",125
401,"Ashraf Abou El-Hassan","M","186","86","Egypt",69
402,"Magdy Abou El-Magd","M","188","85","Egypt",69
403,"Essameldin Abou El-Nein","M","205","102","Egypt",69
404,"Abdel Khlik Abou El-Yazi","M",,,"Egypt",69
405,"Mohamed Moustafa Abou Elea","M","168","54","Egypt",69
406,"Mahmoud Abou Elelaa","M","181","76","Egypt",69
407,"Zaid Abou Hamed","M","182","79","Syria",217
408,"Gaber Mooti Abou Zeid","M","187","82","Egypt",69
409,"Taher Abou Zeid Sayid Amer","M",,,"Egypt",69
410,"Abdel Fattah Abou-Shanab","M",,,"United Arab Republic",
411,"Sadoon Mohamed Aboub","M","170","48","Iraq",109
412,"Zakaria Aboub","M","171","65","Morocco",149
413,"Inni Aboubacar","M",,,"Niger",159
414,"Ibrahim Mohamedin Aboubaker","M","190","65","Qatar",177
415,"Ahmed Ghmin Aboud","M","170","51","Iraq",109
416,"Fathi Khalifa Aboud","M","175","75","Libya",128
417,"Kamel Aboud","M","178","67","Algeria",3
418,"Marwan Suhail Aboud","M",,,"Iraq",109
419,"Rabah Aboud","M","180","64","Algeria",3
420,"Mamdouh Taha Al-Husseini Abouebaid","M","183","85","Egypt",69
421,"Alaaeldin Ahmad El-Sayyid Abouelkassem","M","188","87","Egypt",69
422,"Haysam Farouk Abouelw","M",,,"Egypt",69
423,"Waguih Rauf Aboul Seoud","M",,,"Egypt",69
424,"El-Sayed Aboumedan","M","178","81","Egypt",69
425,"Dany Abounaoum","M",,,"Lebanon",125
426,"Sdonoud Janvier Abouta","M",,,"Mali",136
427,"Mohamed Mohamed Mohamed Aboutrika","M","182","77","Egypt",69
428,"Adeola Aboyade-Cole","M","193","78","Nigeria",160
429,"Cheryl Abplanalp","F","174","68","United States",238
430,"Attila brahm","M","192","88","Hungary",104
431,"Gary Abraham","M","175","64","Great Britain",234
432,"Melita Isidora Abraham Schssler","F","170","62","Chile",45
433,"Tadesse Abraham","M","178","61","Switzerland",216
434,"Shiny Kurisingal Abraham-Wilson","F","167","53","India",106
435,"Mariola Teresa Abrahamczyk (-Fronckowiak)","F","180","70","Poland",174
436,"Ara Abrahamian","M","191","84","Sweden",215
437,"Stphan Abrahamian Gonzalez","M",,,"France",80
438,"Clyde Abrahams","M","178","68","South Africa",206
439,"Glen Abrahams Martnez","M","179","72","Costa Rica",55
440,"Guy A. Abrahams","M","173","65","Panama",168
441,"Knut Leo Abrahamsen","M",,,"Norway",164
442,"Trond Sevg Abrahamsen","M","183","87","Norway",164
443,"Donald Robert Abrahamson, Jr.","M","162","67","United States",238
444,"Richard Neal Abrahamson","M","190","88","United States",238
445,"Kurt Christer Abrahamsson (-Abris)","M","187","77","Sweden",215
446,"Karl Gran Abrahamsson","M","180","72","Sweden",215
447,"Ulf Thommy Abrahamsson","M","185","81","Sweden",215
448,"Fletcher Abram, Jr.","M","193","87","United States",238
449,"Iason Abramashvili","M","176","82","Georgia",86
450,"Yelena Vasilyevna Abramchuk (Kopets-)","F","182","95","Belarus",20
451,"Oleksandr Volodymyrovych Abramenko","M","180","82","Ukraine",232
452,"Yevgeny Sergeyevich Abramenko","M","181","80","Belarus",20
453,"Lahcen Abrami","M",,,"Morocco",149
454,"Ek'aterina Abramia","F","167","43","Georgia",86
455,"Jernej Abrami","M","175","70","Slovenia",203
456,"Levan Abramishvili","M","181","84","Georgia",86
457,"Andrey Vasilyevich Abramov","M","180","100","Soviet Union",
458,"Andrey Viktorovich Abramov","M","176","70","Russia",181
459,"Nikolay Kuzmich Abramov","M","164","59","Soviet Union",
460,"Pavel Sergeyevich Abramov","M","198","89","Russia",181
461,"Sergey Mikhaylovich Abramov","M","180","94","Russia",181
462,"Valery Aleksandrovich Abramov","M","173","61","Soviet Union",
463,"Inna Vladimirovna Abramova","F","172","63","Soviet Union",
464,"Nelli Mikhaylovna Abramova","F","171","60","Soviet Union",
465,"Yekaterina Konstantinovna Abramova","F","167","65","Russia",181
