"id","name","sex","height","wheight","team","id_country"
0,"A Dijiang","M","180","80","China",46
1,"A Lamusi","M","170","60","China",46
2,"Christine Jacoba Aaftink","F","185","82","Netherlands",155
3,"Per Knut Aaland","M","188","75","United States",238
4,"John Aalberg","M","183","72","United States",238
5,"Antti Sami Aalto","M","186","96","Finland",79
6,"Jorma Ilmari Aalto","M","182","76.5","Finland",79
7,"Jyri Tapani Aalto","M","172","70","Finland",79
8,"Minna Maarit Aalto","F","159","55.5","Finland",79
9,"Pirjo Hannele Aalto (Mattila-)","F","171","65","Finland",79
10,"Juhamatti Tapio Aaltonen","M","184","85","Finland",79
11,"Timo Antero Aaltonen","M","189","130","Finland",79
12,"Kjetil Andr Aamodt","M","176","85","Norway",164
13,"Ragnhild Margrethe Aamodt","F","163",,"Norway",164
14,"Andreea Aanei","F","170","125","Romania",180
15,"Fritz Aanes","M","187","89","Norway",164
16,"Nils Egil Aaness","M",,,"Norway",164
17,"Agnes Erika Aanonsen (-Eyde)","F","169","65","Norway",164
18,"Johan Aantjes","M",,,"Netherlands",155
19,"Jan-Erik Aarberg","M","170","77","Norway",164
20,"Willemien Aardenburg","F",,,"Netherlands",155
21,"Pepijn Aardewijn","M","189","72","Netherlands",155
22,"Mika Lauri Aarnikka","M","187","76","Finland",79
23,"Jamale (Djamel-) Aarrass (Ahrass-)","M","187","76","France",80
24,"Dagfinn Sverre Aarskog","M","190","98","Norway",164
25,"Stefan Remco Aartsen","M","194","78","Netherlands",155
26,"Ann Kristin Aarnes","F","182","64","Norway",164
27,"Roald Edgar Aas","M",,,"Norway",164
28,"Morten Gjerdrum Aasen","M","185","75","Norway",164
29,"Meelis Aasme","M","182","73","Estonia",73
30,"Hans Aasns","M","194","93","Norway",164
31,"Abdelhak Aatakni","M",,"64","Morocco",149
32,"Moonika Aava","F","168","65","Estonia",73
33,"Arvi Aavik","M","185","106","Estonia",73
34,"Nstor Abad Sanjun","M","167","64","Spain",209
35,"Patrick Abada","M","189","80","France",80
36,"Talaat Abada","M","172","58","Egypt",69
37,"Antonio Abadia Beci","M","170","65","Spain",209
38,"Borislav Abadzhiev","M","176","66","Bulgaria",35
39,"Ivan Nikolov Abadzhiev","M","164","71","Bulgaria",35
40,"Mikhail Abadzhiev","M","172","75","Bulgaria",35
41,"Stefan Abadzhiev","M","175","72","Bulgaria",35
42,"Giovanni Abagnale","M","198","90","Italy",113
43,"Jos Luis Abajo Gmez","M","194","87","Spain",209
44,"M'Bairo Abakar","M",,,"Chad",44
45,"Patimat Abakarova","F","165","49","Azerbaijan",15
46,"Mohamed Abakkar","M","156","48","Sudan",212
47,"Mariya Vasilyevna Abakumova (-Tarabina)","F","179","80","Russia",181
48,"Pablo Martn Abal","M","178","76","Argentina",10
49,"Tamara Abalde Daz","F","185","72","Spain",209
50,"Jess Iory Aball Martnez","M","167","65","Cuba",57
51,"Juan Antonio Aball Delgado","M","172","82","Cuba",57
52,"Aleksey Aleksandrovich Abalmasov","M","180","83","Belarus",20
53,"Luc Abalo","M","182","86","France",80
54,"Mara Laura Abalo","F","182","73","Argentina",10
55,"Giorgos Abalof","M","178","70","Greece",90
