"id","type","id_jo","id_event","id_athlete"
228360,"none",11,176,114037
228361,"none",21,175,114037
228362,"none",21,176,114037
228363,"none",0,311,114038
228364,"none",12,311,114038
228365,"none",46,21,114039
228366,"Silver",16,113,114040
228367,"none",20,56,114041
228368,"none",20,57,114041
228369,"none",11,230,114042
228370,"Bronze",11,422,114042
228371,"none",21,230,114042
228372,"Gold",19,178,114042
228373,"Gold",19,293,114042
228374,"none",19,230,114042
228375,"none",19,170,114042
228376,"none",1,178,114042
228377,"none",1,293,114042
228378,"none",1,230,114042
228379,"none",1,170,114042
228380,"none",38,626,114043
228381,"none",44,529,114044
228382,"none",44,530,114044
228383,"Silver",44,21,114044
228384,"none",3,47,114045
228385,"none",3,67,114045
228386,"none",3,180,114045
228387,"none",3,635,114045
228388,"Gold",2,643,114046
228389,"none",46,60,114047
228390,"Silver",19,124,114048
228391,"Gold",1,124,114048
228392,"Gold",1,124,114049
228393,"Gold",20,124,114049
228394,"none",29,20,114050
228395,"Gold",29,21,114050
228396,"none",29,22,114050
228397,"none",29,23,114050
228398,"none",29,24,114050
228399,"none",29,25,114050
228400,"none",29,26,114050
228401,"none",29,27,114050
228402,"Silver",21,142,114051
228403,"none",19,142,114051
228404,"none",1,142,114051
228405,"none",26,109,114052
228406,"none",27,109,114052
228407,"none",27,172,114052
228408,"none",35,109,114052
228409,"Silver",2,40,114053
228410,"none",12,119,114054
228411,"Gold",12,271,114055
228412,"none",37,112,114056
228413,"none",32,293,114057
228414,"Bronze",33,230,114057
228415,"none",26,141,114058
228416,"none",27,141,114058
228417,"none",12,143,114059
228418,"none",11,141,114059
228419,"none",21,141,114059
228420,"none",26,163,114060
228421,"none",39,62,114061
228422,"none",39,10,114061
228423,"none",39,9,114061
228424,"none",0,236,114062
228425,"none",12,54,114063
228426,"Bronze",11,54,114063
228427,"Bronze",21,54,114063
228428,"Bronze",19,54,114063
228429,"none",26,212,114064
228430,"none",26,213,114064
228431,"none",26,214,114064
228432,"none",26,215,114064
228433,"none",26,216,114064
228434,"none",26,217,114064
228435,"Bronze",1,241,114065
228436,"Bronze",20,241,114065
228437,"none",8,451,114066
228438,"none",27,212,114067
228439,"none",27,213,114067
228440,"none",27,214,114067
228441,"none",27,215,114067
228442,"none",27,216,114067
228443,"none",27,217,114067
228444,"none",35,245,114068
228445,"none",34,289,114069
228446,"none",27,289,114070
228447,"none",29,29,114071
228448,"none",9,115,114072
228449,"none",9,142,114072
228450,"none",6,493,114073
228451,"none",5,246,114074
228452,"none",5,120,114074
