"id","noc","year","value"
163,"AFG",2001,
164,"AFG",2002,"4055179566.34981"
165,"AFG",2003,"4515558808.10994"
166,"AFG",2004,"5226778808.89209"
167,"AFG",2005,"6209137624.77181"
168,"AFG",2006,"6971285594.68013"
169,"AFG",2007,"9747879531.86311"
170,"AFG",2008,"10109225813.6696"
171,"AFG",2009,"12439087076.7667"
172,"AFG",2010,"15856574731.441"
173,"AFG",2011,"17804292964.1045"
174,"AFG",2012,"20001598505.7042"
175,"AFG",2013,"20561069558.2152"
176,"AFG",2014,"20484885119.7348"
177,"AFG",2015,"19907111418.9938"
178,"AFG",2016,"18017749073.6362"
179,"AFG",2017,"18869945678.4215"
180,"AFG",2018,"18353881129.5246"
181,"AFG",2019,"19291104007.6135"
182,"AFG",2020,"19807067268.1084"
183,"AFW",1960,"10407321640.3539"
184,"AFW",1961,"11131302981.479"
185,"AFW",1962,"11946843968.9628"
186,"AFW",1963,"12680220415.2601"
187,"AFW",1964,"13842621612.1733"
188,"AFW",1965,"14866816736.9203"
189,"AFW",1966,"15837474342.612"
190,"AFW",1967,"14430648806.7267"
191,"AFW",1968,"14884699923.3509"
192,"AFW",1969,"16887028427.8935"
193,"AFW",1970,"23511477699.804"
194,"AFW",1971,"20838908163.4782"
195,"AFW",1972,"25272340677.8719"
196,"AFW",1973,"31282962685.6682"
197,"AFW",1974,"44227412162.1058"
198,"AFW",1975,"51459772973.1146"
199,"AFW",1976,"62147555473.8059"
200,"AFW",1977,"65334104528.2934"
201,"AFW",1978,"71220525032.8343"
202,"AFW",1979,"88654314397.8093"
203,"AFW",1980,"112064063500.952"
204,"AFW",1981,"211065184009.677"
205,"AFW",1982,"187218448133.4"
206,"AFW",1983,"138155586596.237"
207,"AFW",1984,"114296077828.18"
208,"AFW",1985,"116541346400.574"
209,"AFW",1986,"107528972026.103"
210,"AFW",1987,"110354025260.946"
211,"AFW",1988,"108975317103.853"
212,"AFW",1989,"101798537787.419"
213,"AFW",1990,"121837737280.177"
214,"AFW",1991,"117491402473.35"
215,"AFW",1992,"118316836021.128"
216,"AFW",1993,"97186773683.6559"
217,"AFW",1994,"85693055813.7602"
218,"AFW",1995,"107403017953.853"
219,"AFW",1996,"119043576285.767"
220,"AFW",1997,"119983265523.38"
221,"AFW",1998,"122621303104.932"
222,"AFW",1999,"130198655013.551"
223,"AFW",2000,"134150161633.262"
224,"AFW",2001,"141862545777.662"
225,"AFW",2002,"170531894804.468"
226,"AFW",2003,"197384166042.614"
227,"AFW",2004,"245856459111.752"
228,"AFW",2005,"302110792974.068"
229,"AFW",2006,"384336309536.004"
230,"AFW",2007,"451866076568.114"
231,"AFW",2008,"553031246170.03"
232,"AFW",2009,"492545833170.889"
233,"AFW",2010,"580217267150.154"
234,"AFW",2011,"658428249866.884"
235,"AFW",2012,"716935231751.071"
236,"AFW",2013,"807818949699.141"
237,"AFW",2014,"846943079513.472"
238,"AFW",2015,"757492080699.648"
239,"AFW",2016,"687484728475.586"
240,"AFW",2017,"680989095100.78"
241,"AFW",2018,"738131279381.972"
242,"AFW",2019,"792078923887.672"
243,"AFW",2020,"786584975143.582"
244,"AGO",1960,
245,"AGO",1961,
246,"AGO",1962,
247,"AGO",1963,
248,"AGO",1964,
249,"AGO",1965,
250,"AGO",1966,
251,"AGO",1967,
252,"AGO",1968,
253,"AGO",1969,
254,"AGO",1970,
255,"AGO",1971,
256,"AGO",1972,
257,"AGO",1973,
258,"AGO",1974,
259,"AGO",1975,
260,"AGO",1976,
261,"AGO",1977,
262,"AGO",1978,
263,"AGO",1979,
264,"AGO",1980,"5934073603.54849"
265,"AGO",1981,"5553824463.82274"
266,"AGO",1982,"5553824463.82274"
267,"AGO",1983,"5787823808.69565"
268,"AGO",1984,"6135166254.2408"
269,"AGO",1985,"7558613007.90635"
270,"AGO",1986,"7076793822.60201"
271,"AGO",1987,"8089279284.72241"
272,"AGO",1988,"8775116269.16722"
273,"AGO",1989,"10207922517.1839"
274,"AGO",1990,"11236275842.7358"
275,"AGO",1991,
276,"AGO",1992,
277,"AGO",1993,
278,"AGO",1994,"3390500000"
