"id","name","id_sport"
150,"Swimming Women's 200 metres Backstroke",8
151,"Swimming Women's 4 x 100 metres Medley Relay",8
152,"Wrestling Men's Light-Heavyweight, Freestyle",17
153,"Modern Pentathlon Men's Individual",32
154,"Modern Pentathlon Men's Team",32
155,"Athletics Women's 200 metres",6
156,"Table Tennis Women's Singles",39
157,"Table Tennis Women's Doubles",39
158,"Shooting Men's Skeet",25
159,"Swimming Women's 50 metres Freestyle",8
160,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",25
161,"Shooting Men's Rapid-Fire Pistol, 25 metres",25
162,"Athletics Women's 100 metres",6
163,"Athletics Men's Triple Jump",6
164,"Wrestling Men's Flyweight, Greco-Roman",17
165,"Swimming Men's 400 metres Freestyle",8
166,"Weightlifting Women's Lightweight",16
167,"Athletics Women's Long Jump",6
168,"Fencing Women's epee, Individual",23
169,"Swimming Men's 200 metres Freestyle",8
170,"Swimming Men's 4 x 100 metres Freestyle Relay",8
171,"Swimming Men's 4 x 200 metres Freestyle Relay",8
172,"Swimming Men's 100 metres Backstroke",8
173,"Swimming Men's 200 metres Backstroke",8
174,"Swimming Men's 200 metres Individual Medley",8
175,"Swimming Men's 400 metres Individual Medley",8
176,"Badminton Women's Singles",9
177,"Boxing Men's Light-Middleweight",26
178,"Tennis Men's Singles",31
179,"Boxing Men's Heavyweight",26
180,"Wrestling Men's Bantamweight, Freestyle",17
181,"Wrestling Men's Flyweight, Freestyle",17
182,"Athletics Women's 5,000 metres",6
183,"Weightlifting Women's Light-Heavyweight",16
184,"Weightlifting Women's Heavyweight",16
185,"Athletics Men's Discus Throw",6
186,"Taekwondo Men's Featherweight",27
187,"Taekwondo Men's Welterweight",27
188,"Judo Men's Heavyweight",1
189,"Cycling Men's Sprint",28
190,"Boxing Men's Bantamweight",26
191,"Bobsleigh Men's Two",22
192,"Wrestling Men's Lightweight, Freestyle",17
193,"Nordic Combined Men's Team",40
194,"Nordic Combined Men's Individual",40
195,"Baseball Men's Baseball",41
196,"Rowing Men's Coxed Fours",21
197,"Cycling Men's 100 kilometres Team Time Trial",28
198,"Fencing Men's Sabre, Individual",23
199,"Rhythmic Gymnastics Women's Group",42
200,"Gymnastics Women's Individual All-Around",12
201,"Gymnastics Women's Team All-Around",12
202,"Gymnastics Women's Floor Exercise",12
203,"Gymnastics Women's Horse Vault",12
204,"Gymnastics Women's Uneven Bars",12
205,"Gymnastics Women's Balance Beam",12
206,"Diving Women's Springboard",29
207,"Diving Women's Synchronized Springboard",29
208,"Athletics Women's 10,000 metres",6
209,"Judo Women's Half-Middleweight",1
210,"Athletics Men's Decathlon",6
211,"Biathlon Men's 10 kilometres Sprint",11
212,"Biathlon Men's 20 kilometres",11
213,"Biathlon Men's 4 x 7.5 kilometres Relay",11
214,"Athletics Women's 4 x 100 metres Relay",6
215,"Freestyle Skiing Men's Moguls",43
216,"Athletics Women's 1,500 metres",6
217,"Shooting Women's Air Pistol, 10 metres",25
218,"Shooting Women's Sporting Pistol, 25 metres",25
219,"Canoeing Men's Kayak Doubles, 500 metres",30
220,"Canoeing Men's Kayak Singles, 500 metres",30
221,"Canoeing Men's Kayak Singles, 1,000 metres",30
222,"Shooting Men's Running Target, 50 metres",25
223,"Judo Women's Half-Heavyweight",1
224,"Athletics Women's Pole Vault",6
225,"Rugby Sevens Women's Rugby Sevens",44
226,"Table Tennis Men's Team",39
227,"Figure Skating Mixed Pairs",33
228,"Freestyle Skiing Men's Aerials",43
229,"Rowing Women's Coxed Eights",21
230,"Athletics Women's 4 x 400 metres Relay",6
231,"Alpine Skiing Women's Giant Slalom",14
232,"Alpine Skiing Women's Super G",14
233,"Cross Country Skiing Women's 5 kilometres",5
234,"Cross Country Skiing Women's 10 kilometres",5
235,"Cross Country Skiing Women's 20 kilometres",5
236,"Cycling Men's 1,000 metres Time Trial",28
237,"Cycling Men's Individual Pursuit, 4,000 metres",28
238,"Wrestling Men's Welterweight, Freestyle",17
239,"Wrestling Men's Bantamweight, Greco-Roman",17
240,"Rowing Women's Lightweight Double Sculls",21
241,"Athletics Women's 800 metres",6
242,"Rowing Women's Coxed Quadruple Sculls",21
243,"Biathlon Men's 12.5 kilometres Pursuit",11
244,"Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",11
245,"Rhythmic Gymnastics Women's Individual",42
246,"Canoeing Men's Kayak Singles, Slalom",30
247,"Archery Men's Individual",36
248,"Archery Men's Team",36
249,"Swimming Women's 4 x 100 metres Freestyle Relay",8
250,"Speed Skating Women's 1,500 metres",4
251,"Speed Skating Women's Team Pursuit (6 laps)",4
252,"Cross Country Skiing Men's Sprint",5
253,"Athletics Women's 400 metres",6
254,"Figure Skating Women's Singles",33
255,"Speed Skating Men's 1,000 metres",4
256,"Trampolining Men's Individual",45
257,"Swimming Men's 200 metres Breaststroke",8
258,"Beach Volleyball Men's Beach Volleyball",46
259,"Cycling Women's Mountainbike, Cross-Country",28
260,"Triathlon Women's Olympic Distance",47
261,"Cycling Men's Mountainbike, Cross-Country",28
262,"Athletics Women's 400 metres Hurdles",6
263,"Diving Men's Springboard",29
264,"Wrestling Men's Featherweight, Greco-Roman",17
265,"Table Tennis Men's Singles",39
266,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",25
267,"Cross Country Skiing Women's 3 x 5 kilometres Relay",5
268,"Judo Men's Open Class",1
269,"Rowing Women's Quadruple Sculls",21
270,"Nordic Combined Men's Sprint",40
271,"Athletics Women's Pentathlon",6
272,"Cycling Men's Team Pursuit, 4,000 metres",28
273,"Weightlifting Women's Middleweight",16
274,"Swimming Men's 1,500 metres Freestyle",8
275,"Wrestling Women's Light-Heavyweight, Freestyle",17
276,"Alpine Skiing Women's Combined",14
